election_num,state,Ypos,Xpos,MOE_original, MOE_instance,Trump,Clinton,Trump_New, Clinton_New,Trump_EVotes,Clinton_EVotes,Flip_Ind,MOE_Rare_Ind,Surprise_Ind
2,Nebraska,5,4,3.6,3.22,56,29,56,32.22,5,0,0,0,0
2,Nevada,4,2,4.9,7.98,46,46,46,53.98,0,6,1,1,1
2,New Hampshire,2,11,3.7,0.37,38,49,38.37,49,0,4,0,0,0
2,New Jersey,4,9,3.8,4.63,40,51,44.63,51,0,14,0,1,0
2,New Mexico,6,3,1.8,0.1,44,46,44.1,46,0,5,0,0,0
2,New York,3,9,4.5,1.86,34,51,35.86,51,0,29,0,0,0
2,North Carolina,6,7,3.5,0.58,44,44,44.58,44,15,0,1,0,0
2,North Dakota,3,4,4.9,3.25,43,32,43,35.25,3,0,0,0,0
2,Ohio,4,7,3.2,2.46,46,39,46,41.46,18,0,0,0,0
2,Oklahoma,7,4,4.3,2.8,60,30,60,32.8,7,0,0,0,0
2,Oregon,4,1,4.4,1.33,34,41,34,42.33,0,7,0,0,0
2,Pennsylvania,4,8,2.8,0.67,40,46,40,46.67,0,20,0,0,0
2,Rhode Island,4,11,3.4,0.83,32,52,32,52.83,0,4,0,0,0
2,South Carolina,6,8,4.4,3.05,47,36,50.05,36,9,0,0,0,0
2,South Dakota,4,4,4.0,1.97,49,35,50.97,35,3,0,0,0,0
2,Tennessee,6,6,4.4,3.59,44,34,44,37.59,11,0,0,0,0
2,Texas,8,4,3.6,0.32,49,35,49,35.32,38,0,0,0,0
2,Utah,5,2,2.7,2.29,40,30,42.29,30,6,0,0,0,0
2,Vermont,2,10,3.0,2.73,26,52,26,54.73,0,3,0,0,0
2,Virginia,5,8,3.6,1.79,42,48,43.79,48,0,13,0,0,0
2,Washington,3,1,4.9,1.27,39,55,39,56.27,0,12,0,0,0
2,West Virginia,5,7,5.0,2.95,60,28,60,30.95,5,0,0,0,0
2,Wisconsin,2,6,1.9,1.64,41,49,42.64,49,0,10,0,0,0
2,Wyoming,4,3,3.6,2.49,58,20,60.49,20,3,0,0,0,0
2,totals,,,,,,,0,1,268,270,,,3
3,Alabama,7,7,2.0,1.59,48,32,48,33.59,9,0,0,0,0
3,Alaska,1,1,4.9,1.75,43,47,43,48.75,0,3,0,0,0
3,Arizona,6,2,4.9,3.66,47,45,50.66,45,11,0,0,0,0
3,Arkansas,6,5,4.1,3.55,59,36,62.55,36,6,0,0,0,0
3,California,5,1,4.9,0.06,35,58,35,58.06,0,55,0,0,0
3,Colorado,5,3,3.7,1.22,43,48,43,49.22,0,9,0,0,0
3,Connecticut,4,10,3.0,0.77,35,50,35,50.77,0,7,0,0,0
3,Delaware,5,10,4.1,0.99,30,51,30.99,51,0,3,0,0,0
3,District of Columbia,6,9,4.9,1.55,4,91,5.55,91,0,3,0,0,0
3,Florida,8,9,3.3,1.88,50,46,50,47.88,29,0,0,0,0
3,Georgia,7,8,2.8,0.15,52,45,52.15,45,16,0,0,0,0
3,Hawaii,1,2,5.0,4.06,30,62,34.06,62,0,4,0,0,0
3,Idaho,3,2,4.0,8.26,48,29,48,37.26,4,0,0,1,0
3,Illinois,3,6,4.3,1.09,41,53,41,54.09,0,20,0,0,0
3,Indiana,4,6,4.0,0.22,48,37,48,37.22,11,0,0,0,0
3,Iowa,4,5,3.5,1.54,46,39,47.54,39,6,0,0,0,0
3,Kansas,6,4,5.5,0.32,58,34,58,34.32,6,0,0,0,0
3,Kentucky,5,6,4.0,0.54,54,37,54,37.54,8,0,0,0,0
3,Louisiana,7,5,4.4,4.06,50,35,54.06,35,8,0,0,0,0
3,Maine,1,11,3.5,2.24,42,46,44.24,46,0,4,0,0,0
3,Maryland,5,9,4.0,1.39,27,63,27,64.39,0,10,0,0,0
3,Massachusetts,3,10,5.0,1.4,26,56,26,57.4,0,11,0,0,0
3,Michigan,3,7,2.8,2.22,49,47,49,49.22,0,16,1,0,0
